TABLE,COLUMN
AFKO,AUFLD
AFKO,DISPO
AFKO,AUFPL
AFKO,FEVOR
AFKO,FHORI
AFKO,TERKZ
AFKO,REDKZ
AFKO,APRIO
AFKO,NTZUE
AFKO,VORUE
AFKO,PROFID
AFKO,VORGZ
AFKO,SICHZ
AFKO,FREIZ
AFKO,UPTER
AFKO,BEDID
AFKO,PRONR
AFKO,ZAEHL
AFKO,MZAEHL
AFKO,ZKRIZ
AFKO,PRUEFLOS
AFKO,KLVARP
AFKO,KLVARI
AFKO,RGEKZ
AFKO,PLART
AFKO,FLG_AOB
AFKO,FLG_ARBEI
AFKO,GLTPP
AFKO,GSTPP
AFKO,GLTPS
AFKO,GSTPS
AFKO,FTRPS
AFKO,RDKZP
AFKO,TRKZP
AFKO,RUECK
AFKO,RMZHL
AFKO,IGMNG
AFKO,RATID
AFKO,GROID
AFKO,CUOBJ
AFKO,GLUZS
AFKO,GSUZS
AFKO,REVLV
AFKO,RSHTY
AFKO,RSHID
AFKO,RSNTY
AFKO,RSNID
AFKO,NAUTERM
AFKO,NAUCOST
AFKO,STUFE
AFKO,WEGXX
AFKO,VWEGX
AFKO,ARSNR
AFKO,ARSPS
AFKO,MAUFNR
AFKO,LKNOT
AFKO,RKNOT
AFKO,PRODNET
AFKO,IASMG
AFKO,ABARB
AFKO,AUFNT
AFKO,AUFPT
AFKO,APLZT
AFKO,NO_DISP
AFKO,CSPLIT
AFKO,AENNR
AFKO,CY_SEQNR
AFKO,BREAKS
AFKO,VORGZ_TRM
AFKO,SICHZ_TRM
AFKO,TRMDT
AFKO,GLUZP
AFKO,GSUZP
AFKO,GSUZI
AFKO,GEUZI
AFKO,GLUPP
AFKO,GSUPP
AFKO,GLUPS
AFKO,GSUPS
AFKO,CHSCH
AFKO,KAPT_VORGZ
AFKO,KAPT_SICHZ
AFKO,LEAD_AUFNR
AFKO,PNETSTARTD
AFKO,PNETSTARTT
AFKO,PNETENDD
AFKO,PNETENDT
AFKO,KBED
AFKO,KKALKR
AFKO,SFCPF
AFKO,RMNGA
AFKO,GSBTR
AFKO,VFMNG
AFKO,NOPCOST
AFKO,NETZKONT
AFKO,ATRKZ
AFKO,OBJTYPE
AFKO,CH_PROC
AFKO,KAPVERSA
AFKO,COLORDPROC
AFKO,KZERB
AFKO,CONF_KEY
AFKO,ST_ARBID
AFKO,VSNMR_V
AFKO,TERHW
AFKO,SPLSTAT
AFKO,COSTUPD
AFKO,MAX_GAMNG
AFKO,MES_ROUTINGID
AFKO,ADPSP
AFKO,RMANR
AFKO,POSNR_RMA
AFKO,POSNV_RMA
AFKO,CFB_MAXLZ
AFKO,CFB_LZEIH
AFKO,CFB_ADTDAYS
AFKO,CFB_DATOFM
AFKO,CFB_BBDPI
AFKO,OIHANTYP
AFKO,FSH_MPROD_ORD
AFKO,FLG_BUNDLE
AFKO,MILL_RATIO
AFKO,BMEINS
AFKO,BMENGE
AFKO,MILL_OC_ZUSKZ
AFRU,MANDT
AFRU,RUECK
AFRU,RMZHL
AFRU,ERSDA
AFRU,ERNAM
AFRU,LAEDA
AFRU,AENAM
AFRU,BUDAT
AFRU,ARBID
AFRU,WERKS
AFRU,LTXA1
AFRU,TXTSP
AFRU,ISERH
AFRU,ZEIER
AFRU,ILE01
AFRU,ISM01
AFRU,ILE02
AFRU,ISM02
AFRU,ILE03
AFRU,ISM03
AFRU,ILE04
AFRU,ISM04
AFRU,ILE05
AFRU,ISM05
AFRU,ILE06
AFRU,ISM06
AFRU,ABARB
AFRU,ISMNW
AFRU,ISMNE
AFRU,LEARR
